"Year","Port","Millions of Pounds"," Millions of Dollars"
"2012","Fort Myers, FL","6.5","12.3"
"2012","Apalachicola, FL","5","11.2"
"2012","Port St. Joe, FL","4.8","2.7"
"2012","Cape Canaveral, FL","4.3","7.7"
"2012","Panama City, FL","3.8","10.1"
"2011","Key West, FL","13.7","56.3"
"2011","Fort Myers, FL","8.2","14.1"
"2011","Tampa Bay-St. Petersburg, FL","8.1","17.4"
"2011","Mayport, FL","7.9","16.1"
"2011","Apalachicola, FL","7.8","11.7"
"2011","Port St. Joe, FL","7.3","3.3"
"2011","Cape Canaveral, FL","4.6","8.3"
"2011","Panama City, FL","3.7","9.5"
"2011","Ft. Pierce-St.Lucie, FL","3.4","6.6"
"2011","Naples, FL","2","6.5"
"2010","Key West, FL","13.3","50"
"2010","Fort Myers, FL","7.2","12.4"
"2010","Port St. Joe, FL","6.3","3.4"
"2010","Mayport, FL","6","11"
"2010","Tampa Bay-St. Petersburg, FL","5.5","12.6"
"2010","Cape Canaveral, FL","4.2","6.5"
"2010","Apalachicola, FL","3.8","9"
"2010","Panama City, FL","2.5","6.1"
"2010","Naples, FL","2.1","7.3"
"2009","Key West, FL","11.5","26.1"
"2009","Mayport, FL","6.4","9.1"
"2009","Tampa Bay-St. Petersburg, FL","6","12.3"
"2009","Fort Myers, FL","6","9.6"
"2009","Port St. Joe, FL","5.9","2.8"
"2009","Cape Canaveral, FL","4.9","6.2"
"2009","Apalachicola, FL","4.7","9.9"
"2009","Panama City, FL","3.8","8.4"
"2009","Naples, FL","3.6","6.3"
"2008","Key West, FL","10.3","38.7"
"2008","Tampa Bay-St. Petersburg, FL","7.3","19.1"
"2008","Mayport, FL","6.1","13.2"
"2008","Fort Myers, FL","5.7","10.7"
"2008","Cape Canaveral, FL","4.7","8.4"
"2008","Apalachicola, FL","4.3","29.8"
"2008","Panama City, FL","3.7","11"
"2007","Key West, FL","10.1","40.5"
"2007","Mayport, FL","6.3","12"
"2007","Tampa Bay-St. Petersburg, FL","6.2","13.9"
"2007","Fort Myers, FL","6.2","9.5"
"2007","Apalachicola, FL","6.1","10.4"
"2007","Cape Canaveral, FL","4.3","5.1"
"2007","Panama City, FL","3.1","8.1"
"2006","Key West, FL","13.2","54.4"
"2006","Tampa Bay-St. Petersburg, FL","11.9","27.6"
"2006","Fort Myers, FL","9.9","21"
"2006","Port St. Joe, FL","6.7","4.1"
"2006","Mayport, FL","6.4","12.8"
"2006","Apalachicola, FL","5.7","33"
"2006","Cape Canaveral, FL","4.7","6.1"
"2006","Panama City, FL","3","7.9"
"2005","Key West, FL","14","35.1"
"2005","Tampa Bay-St. Petersburg, FL","10","17.8"
"2005","Fort Myers, FL","8.6","15.3"
"2005","Port St. Joe, FL","6.2","5.8"
"2005","Apalachicola, FL","4.9","8.7"
"2005","Mayport, FL","4.7","8.1"
"2005","Cape Canaveral, FL","4.7","6.1"
"2005","Panama City, FL","2.8","6.5"
"2004","Key West, FL","16","43.2"
"2004","Tampa Bay-St. Petersburg, FL","12.3","21.6"
"2004","Fort Myers, FL","9.4","15.9"
"2004","Apalachicola, FL","8.6","5.2"
"2004","Port St. Joe, FL","7.5","8.4"
"2004","Mayport, FL","7.2","7.9"
"2004","Cape Canaveral, FL","6","9.3"
"2004","Ft. Pierce-St.Lucie, FL","2.3","2.6"
"2003","Key West, FL","15.8","38.4"
"2003","Tampa Bay-St. Petersburg, FL","12.5","20.9"
"2003","Port St. Joe, FL","8.3","4.8"
"2003","Fort Myers, FL","8.2","13.8"
"2003","Cape Canaveral, FL","5.2","6.8"
"2003","Apalachicola, FL","5.1","8.8"
"2003","Mayport, FL","4","7.4"
"2003","Ft. Pierce-St.Lucie, FL","3.2","3.5"
"2002","Key West, FL","17.5","43.2"
"2002","Tampa Bay-St. Petersburg, FL","12.4","19.2"
"2002","Fort Myers, FL","9.2","16.7"
"2002","Port St. Joe, FL","7.7","3.7"
"2002","Apalachicola, FL","5.6","9.2"
"2002","Mayport, FL","4.5","8.4"
"2002","Cape Canaveral, FL","4.4","6.2"
"2002","Ft. Pierce-St.Lucie, FL","2.9","3.5"
"2001","Key West, FL","16.4","40"
