Year,Port,Millions of Pounds,State
2017,"Interior (Other), AK",0.9,AK
2017,"Elizabeth City, NC",0.9,NC
2017,"Cape Charles-Oyster, VA",0.3,VA
2017,"Greenport, NY",0.2,NY
2016,"Dutch Harbor, AK",770.0,AK
2016,"Aleutian Islands (Other), AK",508.0,AK
2016,"Empire-Venice, LA",440.0,LA
2016,"Kodiak, AK",417.0,AK
2016,"Reedville, VA",321.3,VA
2016,"Pascagoula-Moss Point, MS",285.0,MS
2016,"Alaska Penninsula (Other), AK",243.0,AK
2016,"Intracoastal City, LA",215.0,LA
2016,"Naknek, AK",170.0,AK
2016,"Westport, WA",108.3,WA
2016,"New Bedford, MA",106.6,MA
2016,"Astoria, OR",93.6,OR
2016,"Newport, OR",77.3,OR
2016,"Ketchikan, AK",65.0,AK
2016,"Gloucester, MA",63.4,MA
2016,"Sitka, AK",56.0,AK
2016,"Bristol Bay (Other), AK",54.0,AK
2016,"Point Judith, RI",53.4,RI
2016,"Portland, ME",49.8,ME
2016,"Cape May-Wildwood, NJ",46.6,NJ
2016,"Petersburg, AK",41.0,AK
2016,"Port Hueneme-Oxnard-Ventura, CA",38.0,CA
2016,"Los Angeles, CA",36.5,CA
2016,"Cordova, AK",35.0,AK
2016,"Rockland, ME",33.6,ME
2016,"Honolulu, HI",32.3,HI
2016,"Dulac-Chauvin, LA",32.0,LA
2016,"Seward, AK",27.0,AK
2016,"Provincetown-Chatham, MA",26.5,MA
2016,"Point Pleasant, NJ",26.3,NJ
2016,"Atlantic City, NJ",24.3,NJ
2016,"Stonington, ME",23.2,ME
2016,"Kenai, AK",22.0,AK
2016,"Bayou La Batre, AL",22.0,AL
2016,"Coos Bay-Charleston, OR",21.3,OR
2016,"Lafitte-Barataria, LA",21.0,LA
2016,"Brownsville-Port Isabel, TX",18.0,TX
2016,"North Kingstown, RI",17.6,RI
2016,"Golden Meadow-Leeville, LA",17.0,LA
2016,"Wanchese-Stumpy Point, NC",16.1,NC
2016,"Key West, FL",16.0,FL
2016,"Juneau, AK",16.0,AK
2016,"Port Arthur, TX",15.0,TX
2016,"Palacios, TX",15.0,TX
2016,"Galveston, TX",15.0,TX
2016,"Delacroix-Yscloskey, LA",14.0,LA
2016,"Moss Landing, CA",13.4,CA
2016,"Ilwaco-Chinook, WA",13.3,WA
2016,"San Francisco Area, CA",12.9,CA
2016,"Princeton-Half Moon Bay, CA",12.7,CA
2016,"Hampton Roads Area, VA",12.3,VA
2016,"Boston, MA",12.2,MA
2016,"Montauk, NY",11.8,NY
2016,"Brookings, OR",11.0,OR
2016,"Vinalhaven, ME",10.5,ME
2016,"Monterey, CA",10.4,CA
2016,"Jonesport, ME",10.4,ME
2016,"Tampa Bay-St. Petersburg, FL",10.0,FL
2016,"Crescent City, CA",9.5,CA
2016,"Shelton, WA",9.4,WA
2016,"New London, CT",9.0,CT
2016,"Eureka, CA",8.9,CA
2016,"Morgan City-Berwick, LA",8.0,LA
2016,"Gulfport-Biloxi, MS",8.0,MS
2016,"Fort Myers, FL",8.0,FL
2016,"Beaufort-Morehead City, NC",8.0,NC
2016,"Engelhard-Swanquarter, NC",7.9,NC
2016,"Accomac, VA",7.6,VA
2016,"Bellingham, WA",7.3,WA
2016,"Long Beach-Barnegat, NJ",7.2,NJ
2016,"Slidell-Covington, LA",7.0,LA
2016,"Homer, AK",7.0,AK
2016,"Beals Island, ME",7.0,ME
2016,"Anchorage, AK",7.0,AK
2016,"Newport, RI",6.6,RI
2016,"Port St. Joe, FL",6.0,FL
2016,"Cortez, FL",6.0,FL
2016,"Santa Barbara, CA",5.2,CA
2016,"Hampton Bay-Shinnicock, NY",5.2,NY
2016,"Seattle, WA",5.1,WA
2016,"Yakutat, AK",5.0,AK
2016,"Wrangell, AK",5.0,AK
2016,"Upper Southeast (Other), AK",5.0,AK
2016,"Mayport, FL",5.0,FL
2016,"Iberia, LA",5.0,LA
2016,"Friendship, ME",4.7,ME
2016,"Columbia, NC",4.7,NC
2016,"Anacortes-La Conner, WA",4.7,WA
2016,"Spruce Head, ME",4.6,ME
2016,"Neah Bay, WA",4.6,WA
2016,"Bodega Bay, CA",4.5,CA
2016,"Oriental-Vandemere, NC",4.4,NC
2016,"Morro Bay, CA",4.3,CA
2016,"Fort Bragg, CA",4.3,CA
2016,"Panama City, FL",4.0,FL
2016,"Ocean City, MD",4.0,MD
2016,"Cameron, LA",4.0,LA
2016,"Newington, NH",3.9,NH
2016,"Fairhaven, MA",3.9,MA
2016,"Willapa Bay, WA",3.8,WA
2016,"Bass Harbor, ME",3.5,ME
2016,"Olympia, WA",3.4,WA
2016,"Belhaven-Washington, NC",3.4,NC
2016,"Owls Head, ME",3.3,ME
2016,"Milbridge, ME",3.1,ME
2016,"Port Lavaca, TX",3.0,TX
2016,"Norton/Kotzebue Sound, AK",3.0,AK
2016,"Cape Canaveral, FL",3.0,FL
2016,"Bon Secour-Gulf Shores, AL",3.0,AL
2016,"Apalachicola, FL",3.0,FL
2016,"Darien-Bellville, GA",2.9,GA
2016,"Swans Island, ME",2.7,ME
2016,"Sneads Ferry-Swansboro, NC",2.6,NC
2016,"Southwest Harbor, ME",2.5,ME
2016,"Belford, NJ",2.5,NJ
2016,"Chincoteague, VA",2.4,VA
2016,"San Diego, CA",2.2,CA
2016,"Stonington, CT",2.1,CT
2016,"Portsmouth, NH",2.0,NH
2016,"Port Clyde, ME",2.0,ME
2016,"Naples, FL",2.0,FL
2016,"Ft. Pierce-St.Lucie, FL",2.0,FL
2016,"Fernandina Beach, FL",2.0,FL
2016,"Savannah, GA",1.8,GA
2016,"Blaine, WA",1.8,WA
2016,"Tacoma, WA",1.7,WA
2016,"Everett, WA",1.6,WA
2016,"Elizabeth City, NC",1.6,NC
2016,"Aransas Pass-Rockport, TX",1.0,TX
2016,"Brunswick, GA",0.7,GA
2016,"La Push, WA",0.4,WA
2015,"Dutch Harbor, AK",787.4,AK
2015,"Kodiak, AK",513.9,AK
2015,"Aleutian Islands (Other), AK",467.4,AK
2015,"Intracoastal City, LA",427.5,LA
2015,"Empire-Venice, LA",379.2,LA
2015,"Reedville, VA",350.0,VA
2015,"Pascagoula-Moss Point, MS",294.8,MS
2015,"Alaska Penninsula (Other), AK",268.0,AK
2015,"Naknek, AK",175.5,AK
2015,"Cordova, AK",162.0,AK
2015,"New Bedford, MA",123.8,MA
2015,"Seward, AK",94.4,AK
2015,"Astoria, OR",91.5,OR
2015,"Sitka, AK",87.4,AK
2015,"Ketchikan, AK",84.3,AK
2015,"Westport, WA",83.5,WA
2015,"Cape May-Wildwood, NJ",77.2,NJ
2015,"Petersburg, AK",69.6,AK
2015,"Bristol Bay (Other), AK",69.6,AK
2015,"Gloucester, MA",67.7,MA
2015,"Newport, OR",65.0,OR
2015,"Portland, ME",62.4,ME
2015,"Kenai, AK",49.6,AK
2015,"Point Judith, RI",46.2,RI
2015,"Moss Landing, CA",45.1,CA
2015,"Port Hueneme-Oxnard-Ventura, CA",43.5,CA
2015,"Honolulu, HI",32.3,HI
2015,"Rockland, ME",31.0,ME
2015,"Dulac-Chauvin, LA",30.5,LA
2015,"Monterey, CA",28.4,CA
2015,"Grand Isle, LA",25.9,LA
2015,"Atlantic City, NJ",25.9,NJ
2015,"Brownsville-Port Isabel, TX",24.7,TX
2015,"Point Pleasant, NJ",24.4,NJ
