Year,Port,Yield,State,Region,Port_ID
2000,"Ocean City, MD",9.6,MD,2,22
2001,"Ocean City, MD",13.2,MD,2,22
2002,"Ocean City, MD",12.1,MD,2,22
2003,"Ocean City, MD",9.1,MD,2,22
2005,"Ocean City, MD",8.0,MD,2,22
2006,"Ocean City, MD",10.3,MD,2,22
2007,"Ocean City, MD",10.1,MD,2,22
2008,"Ocean City, MD",10.6,MD,2,22
2009,"Ocean City, MD",8.6,MD,2,22
2010,"Ocean City, MD",16.7,MD,2,22
2011,"Ocean City, MD",9.0,MD,2,22
2012,"Ocean City, MD",6.0,MD,2,22
2013,"Ocean City, MD",4.6,MD,2,22
2014,"Ocean City, MD",5.4,MD,2,22
2015,"Ocean City, MD",4.1,MD,2,22
2016,"Ocean City, MD",4.0,MD,2,22
2017,"Ocean City, MD",4.4,MD,2,22
1985,"Panama City, FL",10.9,FL,1,23
1986,"Panama City, FL",11.0,FL,1,23
1987,"Panama City, FL",8.2,FL,1,23
1988,"Panama City, FL",8.1,FL,1,23
1989,"Panama City, FL",7.5,FL,1,23
1990,"Panama City, FL",13.2,FL,1,23
1991,"Panama City, FL",9.7,FL,1,23
1995,"Panama City, FL",5.4,FL,1,23
1997,"Panama City, FL",3.6,FL,1,23
1999,"Panama City, FL",4.1,FL,1,23
2005,"Panama City, FL",2.8,FL,1,23
2006,"Panama City, FL",3.0,FL,1,23
2007,"Panama City, FL",3.1,FL,1,23
2008,"Panama City, FL",3.7,FL,1,23
2009,"Panama City, FL",3.8,FL,1,23
2010,"Panama City, FL",2.5,FL,1,23
2011,"Panama City, FL",3.7,FL,1,23
2012,"Panama City, FL",3.8,FL,1,23
2013,"Panama City, FL",0.9,FL,1,23
2014,"Panama City, FL",3.3,FL,1,23
2015,"Panama City, FL",3.6,FL,1,23
2016,"Panama City, FL",4.0,FL,1,23
2017,"Panama City, FL",3.5,FL,1,23
1981,"Portland, ME",39.0,ME,3,24
1982,"Portland, ME",68.1,ME,3,24
1983,"Portland, ME",54.8,ME,3,24
1984,"Portland, ME",37.8,ME,3,24
1985,"Portland, ME",37.0,ME,3,24
1986,"Portland, ME",35.6,ME,3,24
1987,"Portland, ME",44.2,ME,3,24
1988,"Portland, ME",44.0,ME,3,24
1989,"Portland, ME",49.0,ME,3,24
1990,"Portland, ME",49.5,ME,3,24
1991,"Portland, ME",64.0,ME,3,24
1992,"Portland, ME",60.0,ME,3,24
1993,"Portland, ME",87.3,ME,3,24
1994,"Portland, ME",65.3,ME,3,24
1995,"Portland, ME",66.8,ME,3,24
1996,"Portland, ME",78.3,ME,3,24
1997,"Portland, ME",74.7,ME,3,24
1998,"Portland, ME",46.5,ME,3,24
1999,"Portland, ME",55.6,ME,3,24
2000,"Portland, ME",63.9,ME,3,24
2001,"Portland, ME",86.6,ME,3,24
2002,"Portland, ME",62.0,ME,3,24
2003,"Portland, ME",68.5,ME,3,24
2004,"Portland, ME",62.4,ME,3,24
2005,"Portland, ME",56.8,ME,3,24
2006,"Portland, ME",58.2,ME,3,24
2007,"Portland, ME",34.2,ME,3,24
2008,"Portland, ME",35.1,ME,3,24
2009,"Portland, ME",37.3,ME,3,24
2010,"Portland, ME",38.2,ME,3,24
2011,"Portland, ME",61.1,ME,3,24
2012,"Portland, ME",59.0,ME,3,24
2013,"Portland, ME",62.1,ME,3,24
2014,"Portland, ME",56.5,ME,3,24
2015,"Portland, ME",62.4,ME,3,24
2016,"Portland, ME",49.8,ME,3,24
2017,"Portland, ME",49.2,ME,3,24
1981,"San Diego, CA",149.0,CA,6,25
1982,"San Diego, CA",106.8,CA,6,25
1983,"San Diego, CA",84.6,CA,6,25
1984,"San Diego, CA",43.6,CA,6,25
1985,"San Diego, CA",6.1,CA,6,25
1986,"San Diego, CA",5.4,CA,6,25
1987,"San Diego, CA",7.3,CA,6,25
1988,"San Diego, CA",7.0,CA,6,25
1989,"San Diego, CA",4.2,CA,6,25
1990,"San Diego, CA",3.5,CA,6,25
1991,"San Diego, CA",4.0,CA,6,25
1992,"San Diego, CA",3.5,CA,6,25
1994,"San Diego, CA",10.7,CA,6,25
1995,"San Diego, CA",3.7,CA,6,25
1996,"San Diego, CA",3.4,CA,6,25
1997,"San Diego, CA",3.5,CA,6,25
1998,"San Diego, CA",5.4,CA,6,25
1999,"San Diego, CA",4.0,CA,6,25
2000,"San Diego, CA",2.6,CA,6,25
2002,"San Diego, CA",2.5,CA,6,25
2003,"San Diego, CA",2.3,CA,6,25
2004,"San Diego, CA",2.2,CA,6,25
2005,"San Diego, CA",1.9,CA,6,25
2006,"San Diego, CA",2.4,CA,6,25
2014,"San Diego, CA",1.7,CA,6,25
2015,"San Diego, CA",2.1,CA,6,25
2016,"San Diego, CA",2.2,CA,6,25
2017,"San Diego, CA",2.0,CA,6,25
1981,"San Francisco Area, CA",35.0,CA,6,26
1982,"San Francisco Area, CA",43.5,CA,6,26
1983,"San Francisco Area, CA",42.0,CA,6,26
1984,"San Francisco Area, CA",22.4,CA,6,26
1985,"San Francisco Area, CA",31.0,CA,6,26
1986,"San Francisco Area, CA",25.9,CA,6,26
1987,"San Francisco Area, CA",27.0,CA,6,26
1988,"San Francisco Area, CA",25.0,CA,6,26
1989,"San Francisco Area, CA",33.0,CA,6,26
1990,"San Francisco Area, CA",26.8,CA,6,26
1991,"San Francisco Area, CA",26.0,CA,6,26
1992,"San Francisco Area, CA",19.6,CA,6,26
1993,"San Francisco Area, CA",12.9,CA,6,26
1994,"San Francisco Area, CA",10.9,CA,6,26
1995,"San Francisco Area, CA",15.7,CA,6,26
1996,"San Francisco Area, CA",19.2,CA,6,26
1997,"San Francisco Area, CA",29.4,CA,6,26
1998,"San Francisco Area, CA",9.1,CA,6,26
1999,"San Francisco Area, CA",9.5,CA,6,26
2000,"San Francisco Area, CA",11.2,CA,6,26
2001,"San Francisco Area, CA",9.0,CA,6,26
2002,"San Francisco Area, CA",12.1,CA,6,26
2003,"San Francisco Area, CA",11.4,CA,6,26
2004,"San Francisco Area, CA",10.4,CA,6,26
2005,"San Francisco Area, CA",5.1,CA,6,26
2006,"San Francisco Area, CA",5.1,CA,6,26
2009,"San Francisco Area, CA",5.8,CA,6,26
2010,"San Francisco Area, CA",8.9,CA,6,26
2011,"San Francisco Area, CA",12.4,CA,6,26
2012,"San Francisco Area, CA",8.1,CA,6,26
2013,"San Francisco Area, CA",11.4,CA,6,26
2014,"San Francisco Area, CA",19.5,CA,6,26
2015,"San Francisco Area, CA",5.2,CA,6,26
2016,"San Francisco Area, CA",12.9,CA,6,26
2017,"San Francisco Area, CA",5.3,CA,6,26
1981,"Santa Barbara, CA",14.0,CA,6,27
1982,"Santa Barbara, CA",11.0,CA,6,27
1983,"Santa Barbara, CA",9.3,CA,6,27
1984,"Santa Barbara, CA",10.1,CA,6,27
1985,"Santa Barbara, CA",10.7,CA,6,27
1986,"Santa Barbara, CA",13.7,CA,6,27
1987,"Santa Barbara, CA",9.9,CA,6,27
1988,"Santa Barbara, CA",7.0,CA,6,27
1989,"Santa Barbara, CA",9.9,CA,6,27
1990,"Santa Barbara, CA",11.6,CA,6,27
1991,"Santa Barbara, CA",12.9,CA,6,27
1992,"Santa Barbara, CA",10.4,CA,6,27
1993,"Santa Barbara, CA",9.2,CA,6,27
1994,"Santa Barbara, CA",9.9,CA,6,27
1995,"Santa Barbara, CA",6.9,CA,6,27
1996,"Santa Barbara, CA",10.9,CA,6,27
1997,"Santa Barbara, CA",9.4,CA,6,27
1998,"Santa Barbara, CA",5.1,CA,6,27
1999,"Santa Barbara, CA",7.0,CA,6,27
2000,"Santa Barbara, CA",7.1,CA,6,27
2001,"Santa Barbara, CA",5.3,CA,6,27
2002,"Santa Barbara, CA",6.1,CA,6,27
2003,"Santa Barbara, CA",5.5,CA,6,27
2004,"Santa Barbara, CA",7.9,CA,6,27
2005,"Santa Barbara, CA",7.9,CA,6,27
2006,"Santa Barbara, CA",6.9,CA,6,27
2008,"Santa Barbara, CA",5.6,CA,6,27
2009,"Santa Barbara, CA",6.1,CA,6,27
2010,"Santa Barbara, CA",5.7,CA,6,27
2011,"Santa Barbara, CA",6.3,CA,6,27
2012,"Santa Barbara, CA",6.7,CA,6,27
2013,"Santa Barbara, CA",6.4,CA,6,27
2014,"Santa Barbara, CA",6.6,CA,6,27
2015,"Santa Barbara, CA",6.2,CA,6,27
2016,"Santa Barbara, CA",5.2,CA,6,27
2017,"Santa Barbara, CA",3.9,CA,6,27
1992,"Savannah, GA",4.2,GA,1,28
1994,"Savannah, GA",4.0,GA,1,28
1995,"Savannah, GA",4.0,GA,1,28
1996,"Savannah, GA",3.0,GA,1,28
1997,"Savannah, GA",3.1,GA,1,28
1998,"Savannah, GA",2.5,GA,1,28
2013,"Savannah, GA",1.6,GA,1,28
2014,"Savannah, GA",1.7,GA,1,28
2015,"Savannah, GA",1.6,GA,1,28
2016,"Savannah, GA",1.8,GA,1,28
2017,"Savannah, GA",2.1,GA,1,28
1981,"Seattle, WA",25.0,WA,5,29
1982,"Seattle, WA",44.4,WA,5,29
1983,"Seattle, WA",42.2,WA,5,29
1984,"Seattle, WA",60.3,WA,5,29
1985,"Seattle, WA",42.2,WA,5,29
1986,"Seattle, WA",38.2,WA,5,29
1987,"Seattle, WA",22.2,WA,5,29
1988,"Seattle, WA",17.5,WA,5,29
1989,"Seattle, WA",15.6,WA,5,29
1990,"Seattle, WA",16.5,WA,5,29
1991,"Seattle, WA",26.0,WA,5,29
1992,"Seattle, WA",7.0,WA,5,29
1993,"Seattle, WA",10.3,WA,5,29
1994,"Seattle, WA",391.8,WA,5,29
1995,"Seattle, WA",229.0,WA,5,29
1996,"Seattle, WA",241.2,WA,5,29
1997,"Seattle, WA",336.1,WA,5,29
1998,"Seattle, WA",312.8,WA,5,29
1999,"Seattle, WA",2.7,WA,5,29
2000,"Seattle, WA",3.8,WA,5,29
2002,"Seattle, WA",7.0,WA,5,29
2003,"Seattle, WA",7.1,WA,5,29
2004,"Seattle, WA",7.7,WA,5,29
2005,"Seattle, WA",4.5,WA,5,29
2006,"Seattle, WA",6.9,WA,5,29
2007,"Seattle, WA",6.2,WA,5,29
2008,"Seattle, WA",4.8,WA,5,29
2009,"Seattle, WA",7.5,WA,5,29
2010,"Seattle, WA",5.8,WA,5,29
2011,"Seattle, WA",8.0,WA,5,29
2012,"Seattle, WA",5.3,WA,5,29
2013,"Seattle, WA",12.4,WA,5,29
2014,"Seattle, WA",6.0,WA,5,29
2015,"Seattle, WA",6.4,WA,5,29
2016,"Seattle, WA",5.1,WA,5,29
2017,"Seattle, WA",6.3,WA,5,29
1988,"Seward, AK",23.0,AK,4,30
1989,"Seward, AK",34.2,AK,4,30
1990,"Seward, AK",51.2,AK,4,30
1991,"Seward, AK",44.6,AK,4,30
1992,"Seward, AK",24.2,AK,4,30
1993,"Seward, AK",17.6,AK,4,30
1994,"Seward, AK",30.7,AK,4,30
1995,"Seward, AK",24.4,AK,4,30
1996,"Seward, AK",29.2,AK,4,30
1997,"Seward, AK",32.8,AK,4,30
1998,"Seward, AK",45.0,AK,4,30
1999,"Seward, AK",41.8,AK,4,30
2000,"Seward, AK",28.6,AK,4,30
2001,"Seward, AK",43.8,AK,4,30
2002,"Seward, AK",38.2,AK,4,30
2003,"Seward, AK",43.6,AK,4,30
2004,"Seward, AK",38.6,AK,4,30
2005,"Seward, AK",60.5,AK,4,30
2006,"Seward, AK",36.8,AK,4,30
2007,"Seward, AK",71.8,AK,4,30
2008,"Seward, AK",36.5,AK,4,30
2009,"Seward, AK",29.3,AK,4,30
2010,"Seward, AK",75.4,AK,4,30
2011,"Seward, AK",50.0,AK,4,30
2012,"Seward, AK",54.0,AK,4,30
2013,"Seward, AK",84.3,AK,4,30
2014,"Seward, AK",52.4,AK,4,30
2015,"Seward, AK",94.4,AK,4,30
2016,"Seward, AK",27.0,AK,4,30
2017,"Seward, AK",50.5,AK,4,30
1984,"Sitka, AK",39.8,AK,4,31
1986,"Sitka, AK",25.2,AK,4,31
1987,"Sitka, AK",27.1,AK,4,31
1988,"Sitka, AK",27.7,AK,4,31
1989,"Sitka, AK",30.3,AK,4,31
1990,"Sitka, AK",24.4,AK,4,31
1991,"Sitka, AK",27.4,AK,4,31
1992,"Sitka, AK",36.3,AK,4,31
1993,"Sitka, AK",26.3,AK,4,31
1994,"Sitka, AK",32.4,AK,4,31
1995,"Sitka, AK",31.0,AK,4,31
1996,"Sitka, AK",32.0,AK,4,31
1997,"Sitka, AK",21.3,AK,4,31
1998,"Sitka, AK",19.3,AK,4,31
1999,"Sitka, AK",36.2,AK,4,31
2000,"Sitka, AK",95.5,AK,4,31
2001,"Sitka, AK",64.4,AK,4,31
2002,"Sitka, AK",69.6,AK,4,31
2003,"Sitka, AK",34.6,AK,4,31
2004,"Sitka, AK",37.3,AK,4,31
2005,"Sitka, AK",38.1,AK,4,31
2006,"Sitka, AK",46.9,AK,4,31
2007,"Sitka, AK",55.5,AK,4,31
2008,"Sitka, AK",52.7,AK,4,31
2009,"Sitka, AK",78.4,AK,4,31
2010,"Sitka, AK",74.6,AK,4,31
2011,"Sitka, AK",113.2,AK,4,31
2012,"Sitka, AK",67.1,AK,4,31
2013,"Sitka, AK",126.2,AK,4,31
2014,"Sitka, AK",88.5,AK,4,31
2015,"Sitka, AK",87.4,AK,4,31
2016,"Sitka, AK",56.0,AK,4,31
2017,"Sitka, AK",91.3,AK,4,31
1993,"Tampa Bay-St. Petersburg, FL",12.4,FL,1,32
1994,"Tampa Bay-St. Petersburg, FL",11.3,FL,1,32
1995,"Tampa Bay-St. Petersburg, FL",10.9,FL,1,32
1996,"Tampa Bay-St. Petersburg, FL",11.8,FL,1,32
1997,"Tampa Bay-St. Petersburg, FL",9.4,FL,1,32
1998,"Tampa Bay-St. Petersburg, FL",14.4,FL,1,32
1999,"Tampa Bay-St. Petersburg, FL",11.1,FL,1,32
2000,"Tampa Bay-St. Petersburg, FL",11.7,FL,1,32
2001,"Tampa Bay-St. Petersburg, FL",12.7,FL,1,32
2002,"Tampa Bay-St. Petersburg, FL",12.4,FL,1,32
2003,"Tampa Bay-St. Petersburg, FL",12.5,FL,1,32
2004,"Tampa Bay-St. Petersburg, FL",12.3,FL,1,32
2005,"Tampa Bay-St. Petersburg, FL",10.0,FL,1,32
2006,"Tampa Bay-St. Petersburg, FL",11.9,FL,1,32
2007,"Tampa Bay-St. Petersburg, FL",6.2,FL,1,32
2008,"Tampa Bay-St. Petersburg, FL",7.3,FL,1,32
2009,"Tampa Bay-St. Petersburg, FL",6.0,FL,1,32
2010,"Tampa Bay-St. Petersburg, FL",5.5,FL,1,32
2011,"Tampa Bay-St. Petersburg, FL",8.1,FL,1,32
2012,"Tampa Bay-St. Petersburg, FL",9.1,FL,1,32
2013,"Tampa Bay-St. Petersburg, FL",7.1,FL,1,32
2014,"Tampa Bay-St. Petersburg, FL",12.5,FL,1,32
2015,"Tampa Bay-St. Petersburg, FL",13.6,FL,1,32
2016,"Tampa Bay-St. Petersburg, FL",10.0,FL,1,32
2017,"Tampa Bay-St. Petersburg, FL",13.9,FL,1,32
2014,"Willapa Bay, WA",6.9,WA,5,33
2015,"Willapa Bay, WA",2.9,WA,5,33
2016,"Willapa Bay, WA",3.8,WA,5,33
2017,"Willapa Bay, WA",3.4,WA,5,33
1988,"Yakutat, AK",8.9,AK,4,34
1989,"Yakutat, AK",11.9,AK,4,34
1990,"Yakutat, AK",7.9,AK,4,34
2004,"Yakutat, AK",3.2,AK,4,34
2005,"Yakutat, AK",3.9,AK,4,34
2006,"Yakutat, AK",6.1,AK,4,34
2007,"Yakutat, AK",6.2,AK,4,34
2008,"Yakutat, AK",4.4,AK,4,34
2009,"Yakutat, AK",5.5,AK,4,34
2010,"Yakutat, AK",6.8,AK,4,34
2011,"Yakutat, AK",6.1,AK,4,34
2012,"Yakutat, AK",5.0,AK,4,34
2013,"Yakutat, AK",6.2,AK,4,34
2014,"Yakutat, AK",5.2,AK,4,34
2015,"Yakutat, AK",4.4,AK,4,34
2016,"Yakutat, AK",5.0,AK,4,34
2017,"Yakutat, AK",3.5,AK,4,34
